domicilio;caract_sitio;autores;f_e;tamaÑo_mts;ubicacion;tecnica;nombre_obra;lon;lat
California 2084/94;Central Park, Ex Fabril Financiera ;Pérez Celis;1999;;Fachada;Pintura Mural;Título desconocido;-58.3764;-34.6482
Av. Pedro de Mendoza 1777, Lamadrid 576;Enet Nº31 De Artes Gráficas;Benito Quinquela Martín;1949;;Patio;Esmalte A Fuego S/ Planchas De Hierro;Título desconocido;-58.3601;-34.6384
Av. Pedro de Mendoza 1801, esq. Palos;"Jardín Maternal ""benito Quinquela Martín""";Benito Quinquela Martín;1946;;Patio;Esmalte A Fuego S/ Planchas De Hierro;Obreros en actividad;-58.3606;-34.6388
Saavedra 15 esq. Av. Rivadavia;Dirección De Sanidad Escolar;Mónica Corrales;1988;;Fachada;Esgrafiado;Salud, Paz y Democracia;-58.4035;-34.6103
Wenceslao Villafañe 1342 esq. Azara;Esc. De Bellas Artes Manuel Belgrano;Julián Crigna y Pablo López;2007;;Segundo Piso;Xilograbado Y Pintura Mural;Homenaje a 30 años de la noche de los lápices;-58.3717;-34.635
Adolfo Alsina 416, esq. Defensa;Farmacia La Estrella;Carlos Barberis;1900;3m de diámetro;Cielorraso;Pintura Mural;La Farmacia, la Salud y la Enfermedad;-58.3724;-34.6104
Av. de Mayo 701 esq Chacabuco 15;Banco Hsbc;Benito Quinquela Martín;1962;;Hall;Oleo Sobre Madera;Día de trabajo en La Boca;-58.3767;-34.6084
Chacabuco  271 / 285;Librería Del Muro, Edit. Perfil;ex bloques del muro de Berlín;1992;;Hall;Pintura En Aerosol;Historia del Muro de Berlín;-58.3764;-34.6112
Cerviño 3261/ 67;Clínica Juri;Mariano Pagés;1967;;Hall;Relieve En Mármol;El nacimiento de Eva;-58.4059;-34.5813
Esmeralda 561/ Tucumán 764;Galería Del Centro;Luis Seoane;1958;;Espacio Central;Mural Cerámico Y Figuras En Hierro;Homenaje a Guaman Poma de Ayala;-58.378;-34.6019
Libertad 948 / 56;Galería Las Victorias;Luis Seoane;1953;;Acceso Por Libertad ;Figuras De Hierro S/ Mosaico Veneciano;Mater Galeciae;-58.3846;-34.5976
